Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/26/24,Friday,29.74,groceries,Food,Debit,need
01/27/24,Saturday,4.00,coffee,Entertainment and Recreation,Cash,want
01/27/24,Saturday,40.00,gas,Travel,Debit,need
01/28/24,Sunday,67.42,groceries,Food,Debit,need
01/28/24,Sunday,40.00,parking ticket,Bills,Debit,need
01/29/24,Monday,35.66,groceries,Food,Debit,need 
01/30/24,Tuesday,27.15,groceries,Food,Cash,need
01/31/24,Wednesday,20.00,dr. appt co pay ,Bills,Debit,need
01/31,Wednesday,10.00,Rx,Bills,Debit,need
01/31/24,Wednesday,45.00,gas,Travel,Debit,need
02/01/24,Thursday,18.50,pho soup,Food,Debit,want
02/02/24,Friday,32.00,concert ticket ,Entertainment and Recreation,Cash,want
02/02/24,Friday,7.00,drink,Entertainment and Recreation,Debit,want
02/03/24,Saturday,30.00,groceries,Food,Debit,need
02/04/24,Sunday,45.00,gas,Travel,Debit,need
02/04/24,Sunday,800.00,rent,Housing,Cash,need